Region,Department,Gender,Age,Job_Title,Education_Level,Performance_Score,Work_Hours_Per_Week,Remote_Work_Frequency,Team_Size,Employee_Satisfaction_Score,Industry,Actual_Working_Hours,Employment_Year,Avg_Unemployment_Rate,State_Full,Percent_Treated,Percent_Work_Interference,Percent_Consequences
Ohio,Sales,Male,49,Coordinator,Bachelor,5.0,49.0,100,17,3.641063235770343,Finance,51.92322266062595,2005,5.908333333333334,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Texas,Operations,Female,54,Specialist,Bachelor,2.0,39.0,100,11,3.5598972088616168,Education,84.0,2021,5.834172661870504,Texas,69.44444444444444,13.88888888888889,36.11111111111111
Georgia,Finance,Female,29,Team Lead,Master,2.0,37.0,0,5,3.4992515417645067,Finance,39.39608425431216,2019,6.704377637130802,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
Ohio,Customer Support,Male,53,Manager,Master,3.0,38.0,0,16,3.3135654412502333,Technology,39.681816077959496,2011,8.85,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Pennsylvania,Legal,Female,58,Developer,,4.0,47.0,25,14,4.019499254096082,Finance,49.96966303936168,2008,5.316666666666666,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
North Carolina,Marketing,Female,22,Coordinator,Master,3.0,44.0,0,7,3.299725360645492,Education,79.3346568084118,2005,5.241666666666666,North Carolina,63.63636363636363,0.0,27.27272727272727
Illinois,IT,Female,46,Team Lead,Bachelor,2.0,33.0,75,5,3.60894388744192,Finance,35.21740953043451,2016,5.816666666666666,Illinois,76.0,16.0,16.0
California,Finance,Male,30,Coordinator,Bachelor,2.0,43.0,75,3,3.5929760355004814,Education,44.95241994227624,2004,6.208333333333333,California,73.50427350427351,16.23931623931624,27.350427350427353
North Carolina,IT,Male,40,Consultant,Master,3.0,52.0,50,1,3.4453398254062173,Consulting,39.38404544097176,2008,6.133333333333333,North Carolina,63.63636363636363,0.0,27.27272727272727
Ohio,Sales,Male,48,Team Lead,Bachelor,3.0,38.0,50,17,2.255472008780496,Education,41.6341429301869,2004,6.258333333333333,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Georgia,Engineering,Female,34,Analyst,,5.0,46.0,0,17,2.942924364619317,Education,48.485637680509015,2007,4.541666666666667,Georgia,54.54545454545454,9.090909090909092,18.181818181818183
California,Legal,Female,54,Team Lead,High School,2.0,41.0,0,7,4.014355025141413,Retail,44.53805235711468,2010,12.225,California,73.50427350427351,16.23931623931624,27.350427350427353
Ohio,Legal,Male,33,Team Lead,High School,3.0,38.0,0,9,3.45633260933088,Consulting,41.58205574405484,2011,8.85,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Ohio,Customer Support,Male,48,Team Lead,High School,3.0,46.0,75,6,1.7958952201059932,Healthcare,50.23459629929753,2022,6.793597560975607,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Illinois,Engineering,Male,28,Specialist,Bachelor,4.0,46.0,75,8,4.4002752477533,Finance,48.87905540154841,2019,7.106436781609196,Illinois,76.0,16.0,16.0
Florida,Engineering,Female,50,Consultant,Bachelor,4.0,56.0,0,7,4.658226335369733,Consulting,84.31904667890794,2018,3.6750000000000003,Florida,66.66666666666666,25.0,8.333333333333332
Pennsylvania,Operations,Female,32,Team Lead,Bachelor,4.0,58.0,100,12,2.178934132969801,Finance,59.03791022311475,2009,8.049999999999999,Pennsylvania,53.84615384615385,7.6923076923076925,15.384615384615385
Ohio,IT,Female,50,Developer,Bachelor,4.0,36.0,0,1,3.191910469168811,Education,46.658636813841206,2006,5.425,Ohio,74.07407407407408,11.11111111111111,33.33333333333333
Michigan,Customer Support,Female,25,Team Lead,Bachelor,4.0,41.0,25,14,2.513335701114028,Finance,42.77373203711705,2016,4.991666666666666,Michigan,55.55555555555556,0.0,22.22222222222222
